Numero_expedient,Descripcio_dia_setmana,NK_Any,Mes_any,Dia_mes,Hora_dia,Descripcio_torn,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2019S001781    ,Dimecres,2019,3,6,21,Tarda,1,0,1,2,2.18844612503791,41.375424727462
2019S001782    ,Dimecres,2019,3,6,21,Tarda,1,0,1,2,2.18580600814517,41.397232779224
2019S001783    ,Dimecres,2019,3,6,20,Tarda,1,0,1,1,2.15390633616754,41.3957592390958
2019S001784    ,Dimecres,2019,3,6,22,Nit,1,0,1,2,2.13550888809136,41.3655265302684
2019S001785    ,Dimecres,2019,3,6,20,Tarda,1,0,1,2,2.13270767157859,41.3978077588372
2019S001786    ,Dimecres,2019,3,6,21,Tarda,1,0,1,2,2.14096165355291,41.3978813009415
2019S001787    ,Dimecres,2019,3,6,22,Nit,1,0,1,2,2.16183368651039,41.3920121723777
2019S001788    ,Dimecres,2019,3,6,22,Nit,2,0,2,1,2.17509877828944,41.3744732092835
2019S001789    ,Dijous,2019,3,7,4,Nit,0,0,0,2,2.17468350606138,41.3791625654732
2019S001790    ,Dijous,2019,3,7,6,Matí,1,0,1,2,2.17945587524079,41.4000658035722
2019S001791    ,Dijous,2019,3,7,7,Matí,1,0,1,2,2.14518656049032,41.3789950450907
2019S001792    ,Dijous,2019,3,7,7,Matí,2,0,2,2,2.20401773261077,41.4161252356936
2019S001793    ,Dijous,2019,3,7,8,Matí,1,0,1,2,2.14765879844938,41.43563955077
2019S001794    ,Dijous,2019,3,7,9,Matí,2,0,2,2,2.16570610840026,41.3844745371536
2019S001795    ,Dijous,2019,3,7,10,Matí,1,0,1,2,2.12756836423382,41.3422446559601
2019S001796    ,Dijous,2019,3,7,10,Matí,1,0,1,2,2.13892997380059,41.3918270137162
2019S001797    ,Dijous,2019,3,7,11,Matí,1,0,1,2,2.1666615071852,41.44118273021
2019S001798    ,Dijous,2019,3,7,8,Matí,1,0,1,2,2.19725810025018,41.4110500759608
2019S001799    ,Dijous,2019,3,7,11,Matí,1,0,1,1,2.18242042318292,41.4114364946567
2019S001800    ,Dijous,2019,3,7,13,Matí,1,0,1,2,2.14802713232487,41.3749920438695
2019S001801    ,Dijous,2019,3,7,12,Matí,2,0,2,2,2.16139092902784,41.3846743884009
2019S001802    ,Dijous,2019,3,7,15,Tarda,1,0,1,2,2.15919870973294,41.3866028214349
2019S001803    ,Dijous,2019,3,7,14,Tarda,1,0,1,2,2.17854520490949,41.3764692326609
2019S001804    ,Dijous,2019,3,7,16,Tarda,1,0,1,2,2.13371000764106,41.3641955733445
2019S001805    ,Dijous,2019,3,7,14,Tarda,1,0,1,2,2.19872684301195,41.4494791417789
2019S001806    ,Dijous,2019,3,7,16,Tarda,2,0,2,3,2.13853436595859,41.4176166935594
2019S001807    ,Dijous,2019,3,7,13,Matí,1,1,2,1,2.157857745921,41.4249670057591
2019S001808    ,Dijous,2019,3,7,9,Matí,2,0,2,1,2.16685449236808,41.3919131661878
2019S001809    ,Dijous,2019,3,7,16,Tarda,1,0,1,2,2.13269251533148,41.3911735166352
2019S001810    ,Dijous,2019,3,7,13,Matí,1,0,1,2,2.22128059417793,41.4096779774236
2019S001811    ,Dijous,2019,3,7,19,Tarda,1,0,1,2,2.12413111126285,41.3998528595042
2019S001812    ,Dijous,2019,3,7,17,Tarda,2,0,2,1,2.18747683316743,41.4127555981544
2019S001813    ,Dijous,2019,3,7,20,Tarda,3,0,3,3,2.13869694580908,41.3917200630945
2019S001814    ,Dijous,2019,3,7,13,Matí,1,0,1,2,2.17105688292631,41.4144250759654
2019S001815    ,Dijous,2019,3,7,17,Tarda,1,0,1,2,2.16684617697267,41.3955899299941
2019S001816    ,Dijous,2019,3,7,19,Tarda,1,0,1,3,2.18491047314731,41.3859567190568
2019S001817    ,Dijous,2019,3,7,14,Tarda,1,0,1,2,2.19028854907596,41.4456821911149
2019S001818    ,Dijous,2019,3,7,19,Tarda,1,1,2,1,2.17395720176501,41.4077736272333
2019S001819    ,Dijous,2019,3,7,17,Tarda,1,0,1,1,2.19967768293305,41.4213081470801
2019S001820    ,Dijous,2019,3,7,20,Tarda,1,0,1,1,2.14058225723257,41.3996663450182
2019S001821    ,Dijous,2019,3,7,23,Nit,1,0,1,2,2.15301276314242,41.3882231029961
2019S001822    ,Dijous,2019,3,7,16,Tarda,2,0,2,2,2.14335704783161,41.3815045081622
2019S001823    ,Dijous,2019,3,7,21,Tarda,1,0,1,2,2.16657703330878,41.400206075629
2019S001824    ,Dijous,2019,3,7,21,Tarda,1,0,1,2,2.13765204736593,41.4082045874451
2019S001825    ,Dijous,2019,3,7,14,Tarda,1,0,1,2,2.2051466674355,41.3966721936933
2019S001826    ,Dijous,2019,3,7,23,Nit,1,0,1,2,2.15154717425241,41.3976653064002
