Numero_expedient,Any,Mes_any,Dia_mes,Hora_dia,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2018S005380    ,2018,7,12,0,1,0,1,2,2.149901,41.359762
2018S001690    ,2018,3,2,15,1,0,1,2,2.148593,41.361864
2018S001313    ,2018,2,17,20,1,0,1,2,2.156944,41.366077
2018S002874    ,2018,4,15,16,1,0,1,2,2.151691,41.360274
2018S009327    ,2018,12,5,20,1,0,1,1,2.151206,41.361305
2018S001993    ,2018,3,12,9,2,0,2,4,2.168121,41.361562
2018S004804    ,2018,6,22,8,2,0,2,4,2.168121,41.361562
2018S000151    ,2018,1,8,8,1,0,1,2,2.168121,41.361562
2018S003395    ,2018,5,2,17,1,0,1,2,2.169062,41.362125
2018S008670    ,2018,11,12,18,1,0,1,3,2.169062,41.362125
2018S004289    ,2018,6,2,22,0,0,0,2,2.168929,41.362194
2018S005076    ,2018,7,1,22,0,0,0,2,2.155889,41.362378
2018S003012    ,2018,4,19,17,1,0,1,2,2.150967,41.362586
2018S005143    ,2018,7,4,11,2,0,2,2,2.141509,41.363474
2018S005870    ,2018,7,30,3,1,0,1,2,2.135427,41.362279
2018S005727    ,2018,7,24,17,2,0,2,1,2.146043,41.36309
2018S008203    ,2018,10,27,14,1,0,1,1,2.139381,41.362971
2018S006094    ,2018,8,2,10,1,0,1,1,2.136639,41.363036
2018S001043    ,2018,2,8,0,0,0,0,2,2.158768,41.364098
2018S001364    ,2018,2,20,9,1,0,1,2,2.133726,41.363474
2018S006048    ,2018,8,4,13,2,0,2,2,2.139381,41.362971
2018S009725    ,2018,12,20,9,1,0,1,2,2.136531,41.363638
2018S001521    ,2018,2,25,13,1,0,1,1,2.136531,41.363638
2018S002005    ,2018,3,12,14,1,0,1,2,2.169062,41.362125
2018S007680    ,2018,10,9,21,0,0,0,1,2.171329,41.365928
2018S003233    ,2018,4,26,17,1,0,1,2,2.169062,41.362125
2018S004675    ,2018,6,19,8,2,0,2,4,2.168929,41.362194
2018S002885    ,2018,4,16,7,1,0,1,2,2.171625,41.366096
2018S003285    ,2018,4,28,1,2,0,2,1,2.171329,41.365928
2018S005116    ,2018,7,3,12,1,0,1,3,2.168929,41.362194
2018S007507    ,2018,10,4,13,1,0,1,2,2.135723,41.36384
2018S002845    ,2018,4,14,2,1,0,1,1,2.134562,41.364549
2018S000178    ,2018,1,8,19,1,0,1,2,2.154352,41.361915
2018S002951    ,2018,4,18,7,2,0,2,2,2.134649,41.364176
